Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Springs,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,6,37,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,11,28,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,67,50,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,5,100.00,0.25,317,79,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,9,8,100.00,0.34,1097,66,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,15,11,100.00,0.50,7604,105,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,14,14,100.00,0.54,7852,96,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,30,11,100.00,0.50,56757,165,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,3,1,100.00,0.01,1,28,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,25,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,11,38,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,20,30,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,5,4,100.00,0.15,130,52,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,8,5,100.00,0.19,706,95,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,29,11,100.00,0.52,53173,144,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,18,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,25,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,2,2,100.00,0.08,7,26,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,4,2,100.00,0.07,27,38,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,5,4,100.00,0.15,153,59,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,8,6,100.00,0.19,738,96,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,12,9,100.00,0.25,2733,85,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,11,9,100.00,0.27,2574,79,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,19,13,100.00,0.40,20266,115,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,18,13,100.00,0.42,19367,105,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,43,9,100.00,0.35,180413,274,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,29,1,100.00,0.00,61,179,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,28,1,100.00,0.01,97,204,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,38,1,100.00,0.01,282,283,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,30,1,100.00,0.03,478,214,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,46,8,100.00,0.33,182100,304,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,27,1,100.00,0.00,36,141,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,30,1,100.00,0.01,80,192,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,29,1,100.00,0.02,223,205,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,31,1,100.00,0.06,870,199,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,31,1,100.00,0.03,462,204,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,35,1,100.00,0.14,1062,101,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,35,1,100.00,0.06,1380,270,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,35,2,100.00,0.14,1065,109,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,38,5,100.00,0.25,1844,67,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,44,5,100.00,0.22,3912,140,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,68,6,100.00,0.28,9327,110,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,68,6,100.00,0.28,10050,111,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,105,7,100.00,0.46,16405,61,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,105,9,100.00,0.46,19690,67,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,208,12,100.00,0.46,85366,89,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,43,1,100.00,0.00,436,368,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,55,1,100.00,0.00,1423,526,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,73,1,100.00,0.01,4006,611,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,103,1,100.00,0.01,13124,968,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,93,1,100.00,0.02,22650,845,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,212,11,100.00,0.45,132444,141,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,38,1,100.00,0.00,477,403,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,58,1,100.00,0.00,1319,503,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,70,1,100.00,0.01,4132,610,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,84,1,100.00,0.01,9970,731,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,98,1,100.00,0.02,24894,896,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,103,1,100.00,0.05,55598,825,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,107,1,100.00,0.05,59446,880,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,113,1,100.00,0.08,121668,884,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,92,1,100.00,0.10,86559,645,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,118,4,100.00,0.16,189344,653,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,123,3,100.00,0.16,205756,707,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,150,7,100.00,0.32,532665,557,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,149,8,100.00,0.32,553445,552,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,217,13,100.00,0.44,365024,189,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,229,14,100.00,0.42,626374,326,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,22,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,23,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,36,30,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,42,35,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,139,45,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,148,48,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,172,13,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,257,21,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,1559,31,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,1459,32,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,11,17,15,100.00,0.56,15587,78,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,13,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,54,28,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,246,45,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,659,29,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,10,18,15,100.00,0.53,18822,73,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,2,1,100.00,0.05,3,13,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,13,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,55,29,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,234,45,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,677,30,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,13,11,100.00,0.37,4963,39,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,11,100.00,0.40,3554,27,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,24,12,100.00,0.40,62101,113,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,12,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,2,25,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,2,2,100.00,0.08,4,25,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,13,32,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,73,53,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,6,100.00,0.25,277,69,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,9,9,100.00,0.34,1036,63,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,15,11,100.00,0.50,6639,93,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,29,11,100.00,0.52,49427,152,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,14,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,26,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,8,26,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,24,35,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,6,4,100.00,0.13,171,64,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,8,6,100.00,0.19,664,88,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,11,7,100.00,0.27,2426,77,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,9,38,6,100.00,0.25,133984,274,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,12,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,24,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,6,35,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,11,28,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,62,46,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,6,100.00,0.25,319,77,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,9,9,100.00,0.34,1161,71,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,17,13,100.00,0.44,16649,87,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,15,14,100.00,0.50,7470,111,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,29,11,100.00,0.52,49008,153,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,12,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,14,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,7,25,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,26,40,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,5,4,100.00,0.15,157,63,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,8,6,100.00,0.19,701,93,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,12,10,100.00,0.25,2782,90,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,17,13,100.00,0.44,18235,99,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,45,11,100.00,0.34,181119,299,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,22,1,100.00,0.00,12,42,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,31,1,100.00,0.01,93,209,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,34,1,100.00,0.01,345,280,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,32,1,100.00,0.03,530,221,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,36,1,100.00,0.05,1449,300,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,39,1,100.00,0.12,1937,144,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,41,6,100.00,0.23,2917,107,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,68,5,100.00,0.28,9905,118,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,105,8,100.00,0.46,19718,65,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,46,8,100.00,0.33,195077,311,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,21,1,100.00,0.00,6,35,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,32,1,100.00,0.01,94,196,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,28,1,100.00,0.02,185,192,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,45,1,100.00,0.02,802,362,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,36,1,100.00,0.05,1265,296,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,35,2,100.00,0.14,1142,97,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,41,5,100.00,0.23,2786,108,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,66,6,100.00,0.29,7527,81,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,102,9,100.00,0.47,8992,29,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,211,12,100.00,0.45,122535,126,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,39,1,100.00,0.00,432,366,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,61,1,100.00,0.00,1454,546,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,81,1,100.00,0.01,4876,712,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,95,1,100.00,0.01,11702,867,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,89,1,100.00,0.02,22099,797,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,222,12,100.00,0.43,250188,245,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,37,1,100.00,0.00,318,276,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,56,1,100.00,0.00,1428,535,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,78,1,100.00,0.01,4648,707,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,83,1,100.00,0.01,10135,744,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,91,1,100.00,0.05,47555,691,Max. coverage
Random,Uniform,Hard,1000,2000,0.00,12,88,1,100.00,0.02,21393,794,Max. coverage
Random,Uniform,Hard,1000,5000,0.01,12,91,1,100.00,0.05,47609,697,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,108,1,100.00,0.09,116505,828,Max. coverage
Random,Uniform,Hard,1000,10000,0.01,12,110,1,100.00,0.09,113603,853,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,113,3,100.00,0.17,174270,591,Max. coverage
Random,Uniform,Hard,1000,20000,0.02,12,130,2,100.00,0.15,231527,781,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,142,6,100.00,0.34,455688,465,Max. coverage
Random,Uniform,Hard,1000,50000,0.05,12,141,7,100.00,0.34,466842,461,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,214,12,100.00,0.45,307700,161,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,1,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,7,18,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,22,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,38,31,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,41,34,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,131,42,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,138,44,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,220,18,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,297,25,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,936,22,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,1239,29,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,9,21,8,100.00,0.45,41523,128,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,2,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,14,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,62,31,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,215,39,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,856,37,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,9,23,9,100.00,0.41,45496,184,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,3,12,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,9,15,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,53,26,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,5,5,100.00,0.19,295,53,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,666,29,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,12,100.00,0.40,3724,31,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,11,100.00,0.40,5026,39,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,23,13,100.00,0.41,59646,104,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,24,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,24,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,6,38,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,15,37,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,5,4,100.00,0.15,80,57,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,5,100.00,0.25,355,88,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,10,8,100.00,0.30,1111,73,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,14,14,100.00,0.54,5564,76,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,10,23,14,100.00,0.41,67515,107,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,23,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,24,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,7,44,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,14,35,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,75,55,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,6,100.00,0.25,300,74,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,10,8,100.00,0.30,1092,70,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,15,13,100.00,0.50,7101,103,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,30,11,100.00,0.50,55543,157,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,18,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,13,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,25,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,2,100.00,0.05,9,31,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,4,3,100.00,0.07,30,40,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,5,4,100.00,0.15,146,60,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,7,6,100.00,0.22,688,90,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,10,10,100.00,0.30,2209,67,Max. coverage
Springs,Uniform,Medium,1000,100000,0.10,9,30,10,100.00,0.50,52995,171,Max. coverage
Random,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,12,Max. coverage
Random,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,14,Max. coverage
Random,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,24,Max. coverage
Random,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,7,26,Max. coverage
Random,Uniform,Medium,1000,2000,0.00,12,4,3,100.00,0.07,29,40,Max. coverage
Random,Uniform,Medium,1000,5000,0.01,12,6,5,100.00,0.13,192,73,Max. coverage
Random,Uniform,Medium,1000,10000,0.01,12,7,5,100.00,0.22,585,78,Max. coverage
Random,Uniform,Medium,1000,20000,0.02,12,11,8,100.00,0.27,2683,86,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,17,13,100.00,0.44,16594,86,Max. coverage
Random,Uniform,Medium,1000,50000,0.05,12,19,14,100.00,0.40,21581,117,Max. coverage
Random,Uniform,Hard,1000,100000,0.10,9,225,13,100.00,0.42,554712,286,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,44,8,100.00,0.34,172824,287,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,20,1,100.00,0.00,6,32,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,40,1,100.00,0.01,154,326,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,31,1,100.00,0.02,255,210,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,36,1,100.00,0.03,622,276,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,36,1,100.00,0.05,1153,270,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,35,3,100.00,0.14,1003,96,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,42,6,100.00,0.23,3161,122,Max. coverage
Random,Uniform,Medium,1000,100000,0.10,9,44,8,100.00,0.34,172959,287,Max. coverage
Springs,Uniform,Hard,1000,100,0.00,12,43,1,100.00,0.00,144,427,Max. coverage
Springs,Uniform,Hard,1000,200,0.00,12,29,1,100.00,0.01,61,148,Max. coverage
Springs,Uniform,Hard,1000,500,0.00,12,31,1,100.00,0.02,247,231,Max. coverage
Springs,Uniform,Hard,1000,1000,0.00,12,31,1,100.00,0.03,447,210,Max. coverage
Springs,Uniform,Hard,1000,2000,0.00,12,32,1,100.00,0.06,952,215,Max. coverage
Springs,Uniform,Hard,1000,5000,0.01,12,37,2,100.00,0.13,1367,116,Max. coverage
Springs,Uniform,Hard,1000,10000,0.01,12,37,5,100.00,0.26,1448,62,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,72,5,100.00,0.27,16419,149,Max. coverage
Springs,Uniform,Hard,1000,20000,0.02,12,68,5,100.00,0.28,11700,118,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,105,7,100.00,0.46,16979,64,Max. coverage
Springs,Uniform,Hard,1000,50000,0.05,12,105,9,100.00,0.46,18583,61,Max. coverage
Springs,Uniform,Hard,1000,100000,0.10,9,207,12,100.00,0.46,72767,78,Max. coverage
Random,Uniform,Hard,1000,100,0.00,12,40,1,100.00,0.00,362,311,Max. coverage
Random,Uniform,Hard,1000,200,0.00,12,59,1,100.00,0.00,1300,502,Max. coverage
Random,Uniform,Hard,1000,500,0.00,12,77,1,100.00,0.01,4619,692,Max. coverage
Random,Uniform,Hard,1000,1000,0.00,12,83,1,100.00,0.01,9679,741,Max. coverage
