GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,29,9,0,92.16,0.16,30534,7620,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,31,8,0,92.79,0.15,30144,7611,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,32,10,0,90.49,0.14,30785,7592,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,33,10,0,90.18,0.14,30877,7562,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,28,9,0,90.68,0.17,30377,7582,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,28,9,0,90.66,0.17,30429,7600,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,32,11,0,93.42,0.15,30270,7569,Max. iterations
GA Opt.,None,Uniform,Hard,1000,10000,0.01,12,31,9,0,93.53,0.16,31425,7609,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,22,12,0,74.76,0.36,67707,7784,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,22,10,0,74.11,0.36,67276,7747,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,23,12,0,75.81,0.35,68138,7798,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,21,11,0,73.82,0.37,67982,7750,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,21,12,0,74.32,0.37,68411,7782,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,20,10,0,72.73,0.39,67206,7765,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,25,14,0,76.68,0.32,67015,7670,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,23,12,0,75.69,0.35,67970,7724,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,23,11,0,75.97,0.35,68862,7683,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,21,12,0,73.94,0.37,67466,7661,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,87,8,0,91.60,0.01,3704,7514,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,87,8,0,91.10,0.01,3646,7514,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,99,8,0,91.70,0.00,3803,7506,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,99,8,0,94.80,0.00,3769,7517,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,94,8,0,91.30,0.01,3742,7505,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,95,8,0,92.30,0.00,3693,7509,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,102,8,0,92.30,0.00,3842,7488,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,93,8,0,92.30,0.01,3689,7516,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,90,7,0,90.50,0.01,3778,7491,Max. iterations
GA Opt.,None,Uniform,Hard,2000,1000,0.00,12,94,7,0,92.80,0.00,3654,7486,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,74,9,0,85.35,0.01,6720,7541,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,68,8,0,83.25,0.01,6527,7525,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,73,10,0,84.55,0.01,6608,7473,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,76,10,0,86.00,0.01,6671,7520,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,72,9,0,82.85,0.01,6673,7497,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,83,8,0,88.05,0.01,6741,7477,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,73,9,0,84.45,0.01,6711,7509,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,82,9,0,86.05,0.01,6861,7539,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,74,10,0,82.60,0.01,6621,7531,Max. iterations
GA Opt.,None,Uniform,Hard,2000,2000,0.00,12,77,9,0,86.25,0.01,6887,7533,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,44,9,0,69.58,0.05,15178,7566,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,43,7,0,71.48,0.05,14841,7520,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,46,9,0,72.76,0.05,15330,7594,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,43,9,0,71.72,0.05,14901,7575,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,48,8,0,73.36,0.04,15288,7564,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,41,9,0,72.46,0.05,14848,7496,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,47,9,0,70.82,0.04,14683,7568,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,45,8,0,71.46,0.05,15531,7541,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,44,8,0,72.32,0.05,15438,7571,Max. iterations
GA Opt.,None,Uniform,Hard,2000,5000,0.00,12,48,7,0,73.86,0.04,15176,7511,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,33,8,0,62.20,0.11,31784,7684,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,34,8,0,66.16,0.11,31432,7539,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,32,9,0,64.14,0.12,31596,7624,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,35,8,0,64.43,0.11,30772,7527,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,34,8,0,64.72,0.11,30620,7585,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,28,9,0,60.82,0.13,31359,7491,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,33,9,0,63.28,0.11,31383,7600,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,31,11,0,62.26,0.12,31347,7534,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,28,9,0,60.54,0.13,30384,7652,Max. iterations
GA Opt.,None,Uniform,Hard,2000,10000,0.00,12,36,10,0,65.25,0.10,31343,7546,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,22,10,0,54.81,0.31,70198,7759,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,21,9,0,51.55,0.30,68610,7729,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,18,9,0,49.92,0.35,67822,7705,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,21,7,0,53.33,0.31,66743,7679,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,25,9,0,58.10,0.28,68094,7766,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,22,8,0,55.63,0.31,68493,7757,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,28,9,0,59.53,0.26,68493,7750,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,23,8,0,53.73,0.29,68080,7809,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,27,9,0,58.97,0.26,68504,7843,Max. iterations
GA Opt.,None,Uniform,Hard,2000,20000,0.00,12,26,9,0,56.47,0.26,68108,7654,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1254,3644,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1330,3681,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1318,3750,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1309,3727,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1315,3684,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1294,3716,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.05,1265,3369,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1305,3760,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.05,1265,3609,Max. iterations
GA Opt.,None,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,1334,3703,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.10,5237,7292,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.09,5341,7309,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.09,5121,6097,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.08,5225,7065,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.10,5139,7231,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.08,5210,6858,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.07,5219,7383,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.09,5219,7352,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.09,5239,6926,Max. iterations
GA Opt.,None,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.10,5187,6972,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.24,13878,6416,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.19,13729,6689,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.20,13601,6744,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.17,14427,6474,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.21,13643,6702,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.20,13544,6306,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.19,13962,6488,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.20,13619,6628,Max. iterations
GA Opt.,None,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.19,13830,6816,Max. iterations
